peso,altura,sexo,edad,tabaco,ubes,carneRoja,verduras,deporte,drogas,dietaEsp,nivEstPad,nivEstudios,nivIngresos
58.9,1.64,M,18,0,0,4,0,0,0,N,2,3,1
108.11,1.75,V,52,100,4,3,17,12,0,N,1,2,2
60.78,1.64,V,40,0,0,2,0,5,0,N,1,2,4
57.83,1.64,M,57,20,0,5,5,1,0,N,0,1,0
66.41,1.66,M,28,50,0,0,11,0,1,N,1,4,3
79.11,1.69,V,22,0,0,6,11,12,0,N,1,3,4
56.38,1.59,M,59,0,0,0,6,4,0,N,1,2,3
57.72,1.65,M,67,0,2,0,0,2,0,N,2,3,1
61.06,1.73,V,51,10,0,2,0,1,0,N,1,1,2
87.5,1.74,M,28,80,0,0,14,4,0,N,0,1,2
80.71,1.83,V,51,0,0,3,0,5,1,N,1,1,0
85.75,1.75,V,58,0,10,3,0,2,0,N,2,3,4
81.88,1.62,V,48,0,10,0,0,4,0,N,1,3,4
100.86,1.7,M,37,0,4,1,19,13,0,N,1,3,4
55.9,1.62,M,48,0,0,3,6,6,0,N,2,4,4
80.17,1.72,M,41,0,0,3,12,6,0,N,1,1,1
76.61,1.66,M,49,120,2,0,10,5,0,N,2,4,3
73.86,1.63,M,50,110,6,0,0,0,4,N,1,1,1
69.36,1.56,M,40,0,4,5,6,7,0,N,1,2,2
119.72,1.73,V,54,0,15,0,21,11,0,N,1,2,1
80.86,1.65,V,53,10,0,1,9,11,0,N,1,1,0
70.22,1.82,V,54,0,0,0,0,0,0,N,0,0,0
53.87,1.73,V,62,0,0,8,0,0,3,N,1,2,3
104.98,1.62,M,30,0,16,0,6,1,0,S,1,2,1
111.56,1.67,M,19,70,19,0,13,8,0,N,1,3,2
97.37,1.71,M,43,0,0,0,22,14,0,N,1,1,2
67.68,1.75,M,45,0,0,0,11,3,8,N,2,2,2
70.84,1.68,M,41,0,3,0,10,5,0,N,2,4,4
77.17,1.75,V,20,110,0,2,12,6,4,N,4,4,4
63.5,1.63,V,33,10,0,1,10,0,0,N,0,1,2
71.69,1.68,V,34,0,0,0,12,1,0,S,0,1,2
116.96,1.71,V,63,0,21,3,0,0,0,N,0,0,0
74.13,1.61,M,52,40,1,1,11,11,5,N,1,1,1
71.01,1.64,M,18,0,0,0,6,5,0,N,0,2,2
63.91,1.58,M,53,0,0,0,9,11,0,N,1,4,4
68.57,1.79,V,66,0,2,3,0,0,0,N,1,1,1
71,1.72,V,40,0,1,0,0,0,0,N,0,2,2
87.86,1.72,V,45,30,10,2,0,5,0,N,3,4,4
69.44,1.73,V,50,0,0,0,2,5,0,N,0,2,2
72.26,1.69,M,58,80,0,3,0,13,0,N,1,2,2
59.39,1.6,M,58,60,0,0,3,6,0,N,2,1,1
86.93,1.68,M,21,80,5,0,3,0,0,N,0,0,2
71.24,1.76,V,18,0,0,3,0,0,NA,N,1,2,1
57.99,1.65,M,49,100,0,4,10,2,3,N,2,2,2
65.03,1.66,M,45,20,0,0,0,0,0,N,0,1,0
68.04,1.72,V,58,0,0,0,9,0,0,N,1,3,2
90.51,1.59,M,46,0,13,1,1,1,0,N,1,3,3
54.72,1.65,V,44,0,0,2,0,0,0,N,1,2,1
93.86,1.71,M,41,0,3,0,14,8,0,N,2,2,1
64.09,1.57,M,50,0,1,2,6,6,0,N,1,2,0
59.65,1.6,M,30,0,0,0,0,0,0,N,0,1,1
84.05,1.66,V,56,50,10,3,0,4,0,N,1,3,3
74.96,1.76,V,38,80,0,5,2,6,3,N,1,2,2
81.85,1.68,V,67,0,7,0,4,0,0,S,1,2,1
49.22,1.64,M,32,0,0,1,0,0,1,N,0,3,4
119.72,1.73,V,29,0,17,0,0,2,0,N,1,1,1
116.96,1.71,V,46,0,19,0,19,7,0,N,1,0,0
99.1,1.65,M,46,0,10,2,19,7,4,N,1,1,2
77.11,1.69,M,71,70,9,0,9,0,0,N,3,4,4
101.39,1.78,V,44,0,0,2,11,13,0,S,0,1,0
58.52,1.62,M,53,90,0,2,0,0,0,S,2,2,1
106.14,1.71,M,41,30,0,4,21,18,2,N,0,0,0
62.26,1.69,M,45,0,1,3,5,0,0,N,0,1,2
61.8,1.65,V,64,140,1,0,0,0,0,N,0,1,0
69.03,1.74,M,32,0,0,0,0,0,0,N,1,2,3
99.66,1.73,V,37,0,13,4,0,2,0,N,2,1,1
57.22,1.7,M,19,0,0,6,0,1,6,N,2,3,3
54.69,1.61,M,28,70,3,6,0,0,0,N,3,4,4
57.98,1.69,V,54,0,0,4,4,0,0,N,2,3,3
47.82,1.63,M,58,0,0,1,3,0,2,N,1,4,4
59.89,1.65,M,18,0,0,2,0,2,0,N,1,3,3
65.41,1.58,M,18,0,0,3,6,8,2,N,1,4,3
56.08,1.65,M,58,0,0,1,15,0,0,N,2,4,4
91.07,1.62,M,41,0,15,7,0,6,0,N,2,4,4
121.1,1.74,V,29,130,26,0,1,0,0,N,1,3,3
91.45,1.64,M,28,100,0,2,7,10,0,N,0,0,0
77.7,1.77,V,34,0,0,4,11,11,0,N,2,3,4
78.54,1.69,V,43,0,4,1,0,0,0,N,1,0,0
104.43,1.72,M,18,0,8,0,13,1,0,N,1,2,1
114.06,1.78,V,44,0,13,0,3,4,3,N,2,3,2
78.01,1.77,V,36,0,0,4,8,8,0,N,2,4,4
80.31,1.62,M,39,0,0,1,14,7,0,N,1,0,0
56.58,1.6,M,61,0,0,0,2,5,0,N,3,4,2
82.39,1.66,M,25,0,0,0,9,11,0,N,2,4,4
107.89,1.8,M,37,0,14,8,0,0,0,N,2,4,4
66.55,1.69,M,38,90,0,1,0,8,0,N,2,2,3
57.03,1.78,V,60,0,0,6,1,0,1,N,3,4,3
75.06,1.62,M,27,0,8,6,0,0,0,N,1,1,1
61.91,1.67,M,34,90,0,0,2,1,4,N,2,3,3
84.39,1.7,M,44,0,2,0,13,3,0,N,1,1,0
77.84,1.82,V,41,100,0,1,10,4,0,N,2,3,3
103.75,1.7,V,18,70,0,0,18,13,0,N,2,2,2
57.03,1.78,V,41,0,0,0,0,0,0,N,2,3,3
79.11,1.69,V,34,0,0,2,6,11,0,N,1,2,2
66.15,1.75,V,31,120,0,0,0,0,1,N,0,1,1
101.73,1.7,M,18,90,5,0,12,5,9,N,0,0,1
86.08,1.63,M,28,0,2,0,2,12,0,N,0,0,1
70.74,1.64,M,54,90,0,3,15,10,2,N,2,3,2
66.16,1.63,M,25,0,0,0,3,5,0,N,1,2,2
61.59,1.64,M,44,40,0,0,0,0,0,S,2,3,0
57.03,1.78,V,51,0,0,5,0,0,0,N,2,4,3
125.24,1.86,V,22,0,10,0,0,5,0,N,0,2,2
61.44,1.6,M,30,0,0,1,0,0,0,N,1,2,1
58.41,1.56,M,27,0,0,4,8,2,0,N,1,1,1
72.35,1.64,M,49,0,0,1,7,8,0,N,2,2,1
95.65,1.61,M,55,60,10,3,18,12,0,N,0,4,4
55.81,1.65,M,61,60,0,4,14,0,0,N,1,2,3
77.16,1.7,V,33,0,0,5,10,7,0,N,0,1,0
59.62,1.56,M,76,20,7,1,0,1,0,N,1,1,2
83.47,1.61,M,41,0,12,1,0,3,0,S,2,4,4
66,1.74,V,53,100,0,2,0,1,0,N,0,0,0
129.6,1.8,V,35,0,11,3,10,18,0,N,3,4,4
77.2,1.71,M,25,0,5,4,0,0,0,N,1,2,2
73.5,1.75,V,55,10,6,1,2,2,0,N,0,4,4
61.45,1.66,M,48,0,0,3,0,0,0,N,0,1,2
56.73,1.71,M,66,0,0,0,11,0,0,N,2,3,3
61.02,1.76,M,60,10,0,2,0,2,0,N,2,2,2
76.62,1.72,V,35,130,3,2,1,0,0,N,0,1,1
73.66,1.68,M,38,40,0,1,7,8,0,N,3,4,4
75.39,1.74,V,56,0,0,4,5,12,0,N,2,3,2
114.24,1.69,V,56,0,15,3,9,6,0,N,0,0,0
72.96,1.6,M,41,150,2,0,4,6,0,N,2,3,1
55.76,1.76,V,70,100,0,4,0,0,0,N,3,3,4
101.56,1.81,V,48,90,11,0,0,2,0,N,3,4,4
99.35,1.68,V,51,0,4,0,13,10,0,N,0,0,0
81.3,1.63,M,63,120,5,0,13,9,0,N,1,4,3
87.14,1.71,V,33,0,6,7,1,5,0,N,0,0,1
51.06,1.61,M,36,0,0,2,0,0,0,N,1,3,4
89.88,1.7,M,28,0,8,0,3,0,0,N,2,2,2
57.67,1.79,V,56,0,0,0,0,1,0,N,1,2,3
114.24,1.69,M,35,0,15,0,19,17,0,N,1,2,3
87.43,1.71,V,26,0,5,0,11,5,0,N,3,4,3
62.55,1.66,M,41,0,0,1,3,3,0,N,3,3,3
73.19,1.75,V,32,0,0,0,13,2,0,N,2,4,4
66.95,1.63,M,47,0,0,6,0,12,0,N,1,1,2
90.46,1.61,M,50,0,11,0,4,1,0,N,1,1,0
85.82,1.63,M,39,0,10,0,9,1,0,N,3,3,4
69.63,1.74,V,36,0,0,2,0,5,0,N,2,2,3
104.98,1.62,M,40,70,18,1,12,6,0,N,1,4,2
62.98,1.6,M,27,20,1,3,6,4,0,N,2,4,4
69.94,1.74,V,20,0,0,1,0,0,0,N,2,3,2
75.72,1.78,V,27,80,0,0,6,0,0,N,0,3,1
116.28,1.78,V,28,0,15,0,0,0,0,N,1,3,3
63.88,1.74,M,71,0,0,0,6,5,0,N,2,3,2
67.24,1.66,V,36,0,1,3,0,3,4,N,1,0,0
101.82,1.65,M,31,0,19,5,3,0,1,N,2,4,4
77.86,1.65,M,44,50,7,1,6,4,1,N,2,3,4
96.2,1.71,M,50,0,12,3,9,2,3,N,1,3,2
74.84,1.8,V,59,50,0,2,8,4,7,N,2,2,1
110.22,1.66,M,18,0,14,2,14,20,0,N,2,4,4
66.91,1.74,V,52,160,2,8,0,0,0,N,0,1,2
94.07,1.82,V,72,30,9,0,0,1,0,N,1,3,3
86.3,1.65,M,36,0,6,3,0,6,0,N,0,0,0
132.5,1.82,V,39,110,12,0,21,2,0,N,0,0,1
69.35,1.63,M,19,160,0,4,17,7,5,N,2,4,4
92.89,1.72,V,42,0,9,0,5,0,0,N,1,1,1
101.61,1.68,M,40,120,16,1,5,0,0,N,0,2,3
109.33,1.75,V,47,0,15,1,0,0,0,N,0,1,1
82.22,1.65,M,57,0,2,0,15,12,0,N,2,3,4
64.92,1.71,V,35,30,2,0,0,0,0,N,3,4,4
61.61,1.85,V,57,0,0,0,0,0,0,N,2,3,3
55.78,1.67,M,47,0,0,0,0,0,0,N,2,3,3
80.54,1.75,V,43,0,0,2,1,4,0,N,1,0,0
84.59,1.79,V,55,0,1,5,13,10,0,N,0,3,3
61.11,1.63,M,38,60,0,1,0,2,0,N,0,1,2
49.68,1.58,M,45,290,0,2,0,0,2,N,2,3,3
63.12,1.69,M,27,0,0,0,4,0,0,S,1,3,4
82.99,1.75,V,46,0,0,2,21,6,0,N,1,3,3
70.93,1.73,V,40,100,1,0,0,0,0,N,1,2,2
86.83,1.79,V,18,0,0,4,7,9,0,N,4,4,3
66.74,1.73,V,18,0,0,9,6,0,0,N,1,1,0
81.99,1.67,M,29,50,2,1,12,4,0,N,1,3,3
48.64,1.6,M,52,0,0,0,0,0,0,N,2,4,3
65.41,1.58,M,50,0,0,0,7,8,0,N,1,0,2
115.65,1.81,V,23,0,11,1,3,3,5,N,1,3,2
64.82,1.62,M,38,0,1,1,15,3,NA,N,3,4,4
96.1,1.55,M,44,0,23,0,5,2,NA,N,2,4,4
74.68,1.66,M,53,0,0,0,9,5,0,N,0,0,1
75.14,1.65,M,42,0,3,4,0,6,0,N,0,0,0
87.59,1.75,V,60,0,9,2,0,0,3,N,1,2,0
92.83,1.78,V,39,100,8,2,0,3,0,N,2,2,4
52.89,1.7,V,54,0,0,0,0,0,6,N,0,2,4
61.56,1.7,V,51,70,0,0,0,2,2,N,2,3,4
116.96,1.71,M,40,0,24,2,9,0,0,N,0,1,0
85.18,1.81,V,63,0,9,0,0,0,0,N,2,4,4
81.49,1.64,M,31,0,0,2,4,15,0,N,1,2,1
63.7,1.75,V,46,110,0,0,0,0,0,N,0,2,2
59.89,1.65,M,64,0,0,0,0,9,2,N,1,2,2
61.83,1.72,V,52,20,0,0,0,0,0,N,0,1,0
61.7,1.71,V,25,0,0,1,0,0,0,N,0,1,0
74.78,1.74,V,47,0,0,0,12,2,3,N,3,3,2
47.18,1.58,M,37,0,0,1,0,0,0,N,4,4,2
64.77,1.6,M,52,0,8,0,0,0,0,N,0,4,4
62.26,1.69,M,58,20,1,2,2,0,0,N,1,0,0
83.2,1.73,M,41,80,0,0,19,6,0,N,1,4,3
62.42,1.72,V,18,0,0,4,3,0,0,N,2,3,4
71.54,1.64,M,36,0,0,0,14,5,0,N,1,2,4
68.29,1.75,V,21,0,0,0,0,3,0,S,0,2,3
65.38,1.52,M,45,0,0,0,14,8,0,N,2,2,2
64.79,1.72,M,61,0,2,4,1,5,0,N,3,4,4
103.85,1.74,V,34,0,8,3,2,8,0,N,0,0,0
67.72,1.8,V,60,0,0,6,0,6,0,N,0,0,0
79.92,1.54,M,36,0,9,3,1,6,0,N,0,0,1
80.83,1.62,M,62,0,6,2,0,9,0,N,1,1,0
79.28,1.81,V,29,0,0,2,9,7,0,N,1,3,4
110.59,1.77,V,33,0,9,0,9,5,0,N,1,2,4
107.58,1.64,M,28,70,17,4,0,5,0,N,1,2,4
64.51,1.6,M,56,0,3,0,3,0,0,N,0,1,0
65.67,1.76,V,72,50,0,2,6,1,0,N,1,2,2
101.06,1.75,V,22,0,8,6,5,4,1,N,2,2,1
61.78,1.78,V,54,0,0,3,0,0,0,N,1,1,4
56.34,1.67,M,36,0,0,3,5,1,6,S,1,2,3
67.75,1.63,M,21,0,1,1,17,3,3,N,3,4,4
69.94,1.7,V,32,120,0,0,0,0,0,N,0,0,0
117.59,1.82,V,47,40,6,2,9,7,0,N,2,0,0
57.86,1.6,M,18,0,0,0,4,3,0,N,0,4,4
83.54,1.68,M,47,0,3,0,12,2,0,S,1,1,0
70.67,1.63,M,24,0,0,3,18,4,0,N,1,3,2
61.47,1.78,V,46,0,0,0,0,2,0,N,1,3,3
53.34,1.68,V,52,0,0,1,0,0,0,N,2,3,4
100.45,1.75,V,64,0,10,0,5,10,0,N,2,4,4
110.16,1.67,V,39,0,19,1,0,0,3,N,3,1,1
73.82,1.78,V,39,0,3,5,0,0,1,N,1,2,1
91.61,1.7,M,23,90,10,4,0,0,0,N,2,2,2
113.1,1.77,M,37,170,14,2,11,2,5,N,1,4,4
91.74,1.74,V,63,0,0,3,15,17,0,N,1,3,4
97.45,1.83,V,58,0,5,1,11,4,0,N,2,3,3
80.59,1.65,V,30,0,3,0,14,3,0,N,4,4,4
108.9,1.65,M,41,40,16,0,5,4,0,N,1,1,1
84.05,1.57,M,42,0,13,5,0,0,1,N,0,1,2
115.6,1.7,V,18,20,18,5,0,0,0,N,0,0,0
84.31,1.72,M,43,0,3,7,9,14,0,N,1,3,4
92.04,1.74,V,26,30,4,1,10,10,0,N,2,4,3
77.76,1.61,M,54,0,10,0,0,5,0,N,2,4,4
62.57,1.76,M,27,0,0,0,1,1,0,N,1,4,4
64.12,1.76,V,29,10,0,7,0,0,0,N,0,1,2
72.06,1.77,V,28,0,0,3,0,0,0,N,0,0,0
84.91,1.72,M,43,0,5,1,8,9,0,N,3,4,4
61.81,1.68,M,21,0,1,2,0,0,0,N,1,3,4
70.27,1.66,V,67,0,3,0,10,2,0,N,1,1,2
46.08,1.6,M,68,0,0,2,0,3,0,N,3,4,4
91.28,1.73,V,54,70,0,4,11,11,0,N,0,0,0
118.33,1.76,V,18,0,13,0,2,0,0,N,1,1,3
105.63,1.76,V,21,0,0,0,29,11,2,N,0,2,2
49.3,1.57,M,44,0,0,0,0,1,0,N,2,3,2
62.73,1.78,V,45,30,1,2,0,0,0,N,1,2,3
58.42,1.66,M,55,0,0,1,7,3,0,N,2,4,3
105.94,1.76,V,59,0,9,2,6,8,0,N,1,2,1
81.44,1.67,M,55,0,6,6,0,12,0,N,0,2,2
93.11,1.69,V,46,0,1,0,20,8,0,N,1,1,2
55.12,1.75,V,56,0,0,3,0,0,0,N,2,4,2
59.62,1.65,M,34,10,0,5,10,3,1,N,2,3,2
110.73,1.81,V,27,0,10,0,0,0,0,N,0,0,0
102.93,1.71,V,29,0,13,4,0,5,0,N,2,3,4
86.25,1.69,M,36,0,0,2,9,10,NA,N,0,1,1
59.83,1.68,V,45,0,0,5,0,5,0,N,2,3,3
69.12,1.6,M,50,0,0,0,13,10,0,N,1,3,2
59.83,1.68,V,44,0,0,2,3,0,0,N,2,4,4
101.37,1.75,V,24,50,6,0,9,3,0,N,1,2,2
72.9,1.8,M,59,0,0,4,9,5,0,N,3,4,2
81.3,1.86,V,18,0,0,4,0,0,0,N,0,1,0
94.94,1.75,V,60,0,13,7,4,0,0,N,1,1,2
102.64,1.74,V,23,100,2,0,7,9,0,N,0,1,1
125.32,1.77,M,18,0,3,3,11,21,0,N,0,1,3
100.44,1.8,V,55,0,14,3,0,0,0,N,2,3,4
77.81,1.74,V,48,0,6,2,4,3,0,N,2,4,4
78.32,1.7,V,47,0,0,1,13,5,0,N,1,0,1
78.26,1.69,M,54,0,9,0,0,0,5,N,2,3,3
122.5,1.75,V,58,40,34,2,0,0,0,N,0,0,1
54.1,1.71,V,63,0,0,1,0,0,2,S,1,1,2
62.85,1.73,V,35,0,0,3,0,0,0,N,0,2,1
88.11,1.82,V,26,90,0,1,11,3,0,N,0,2,3
66.42,1.77,V,57,80,6,11,0,0,0,N,3,4,4
69.55,1.77,V,54,0,3,3,0,0,0,N,1,3,3
56.73,1.68,M,47,0,4,4,0,0,4,S,3,4,4
88.59,1.76,V,30,30,5,0,0,0,0,N,1,1,0
80.2,1.77,V,65,0,7,2,10,0,0,N,3,2,1
110.89,1.76,V,18,0,4,3,19,6,0,N,1,1,0
63.45,1.71,V,47,0,0,5,6,0,0,S,0,1,0
82.65,1.74,V,34,10,0,0,9,8,0,S,2,4,1
83.58,1.65,M,42,0,6,3,0,9,3,N,1,2,3
109.53,1.7,M,31,0,5,0,12,11,0,N,1,1,0
54.62,1.7,M,57,0,0,3,0,0,0,N,1,2,2
96.77,1.67,V,47,0,16,3,0,0,0,N,2,3,3
66.76,1.7,V,34,0,0,0,0,0,0,N,0,0,1
68.72,1.71,V,60,120,0,1,0,6,0,N,1,1,0
113.68,1.76,V,27,0,8,0,14,4,0,N,2,2,3
100.93,1.79,V,50,30,10,0,1,0,0,N,2,2,3
81.14,1.74,M,47,60,4,1,12,0,0,N,2,4,3
94.02,1.75,V,36,0,0,0,19,8,0,S,1,1,1
63.09,1.75,V,79,0,0,1,12,1,0,N,0,1,1
50.13,1.62,M,58,0,0,0,0,0,0,N,3,2,4
125.32,1.77,V,33,90,21,0,12,4,1,N,1,4,4
87.96,1.85,V,37,0,0,0,4,8,0,N,3,4,3
81.36,1.62,V,45,60,9,4,5,0,0,N,2,1,1
61.32,1.64,M,51,0,5,0,0,0,0,N,0,2,3
68.02,1.63,M,43,0,0,0,9,4,0,N,0,1,1
68.05,1.67,M,39,0,0,1,5,4,0,N,2,2,2
92.38,1.62,M,38,0,12,0,0,0,0,N,0,1,0
64.82,1.64,M,35,0,0,0,8,2,0,N,2,3,4
91.09,1.82,V,29,0,0,2,7,11,0,N,0,2,2
79.11,1.69,V,62,0,10,3,0,2,0,N,1,3,3
56.45,1.68,V,44,0,0,0,0,0,6,N,1,1,1
122.5,1.75,M,51,0,15,0,29,12,1,N,2,2,2
50.2,1.67,V,61,0,0,0,0,0,0,N,3,4,4
67.37,1.84,V,36,0,0,4,0,3,0,N,4,4,3
120.62,1.77,V,38,0,11,0,1,6,0,N,0,0,0
85.82,1.63,M,60,0,11,0,6,3,0,N,2,3,3
83.58,1.65,M,41,0,9,3,0,5,0,N,3,4,4
120.2,1.8,V,33,0,14,1,0,6,0,N,3,4,4
79.88,1.72,V,50,0,0,1,12,15,0,N,2,4,4
121.1,1.74,V,18,0,10,0,12,14,0,N,1,1,1
65.84,1.61,M,25,0,0,3,0,2,1,N,0,0,0
107.39,1.69,M,18,0,6,2,10,11,0,N,1,1,2
65.48,1.59,M,18,0,0,0,4,7,0,N,3,4,4
65.45,1.8,V,51,30,0,5,0,5,0,N,0,2,3
54.8,1.74,M,51,0,0,1,0,0,0,N,3,4,4
56.32,1.6,M,45,0,0,0,0,1,0,N,2,1,1
64.55,1.69,V,29,0,0,1,0,0,0,N,0,1,2
86.58,1.61,M,56,30,10,0,0,4,0,N,2,3,2
88.73,1.66,M,33,0,11,4,1,1,0,N,1,2,2
63.9,1.72,V,39,0,0,5,0,1,0,N,2,2,1
68.89,1.66,M,22,30,0,3,0,2,0,N,0,0,0
92.2,1.78,V,46,150,6,0,0,8,0,N,2,4,4
145.92,1.91,V,18,100,14,0,14,0,0,N,1,3,2
107.58,1.64,M,46,0,9,0,14,20,0,N,1,1,1
66.85,1.78,V,52,30,0,3,0,9,5,N,1,2,2
141.51,1.9,V,18,0,11,0,4,1,1,N,0,0,0
58.48,1.71,V,33,0,0,3,0,0,0,N,2,3,2
61.08,1.67,M,55,50,1,0,4,0,0,N,0,2,2
72.68,1.77,V,28,10,0,0,10,0,0,N,4,4,4
56.21,1.64,M,51,0,0,3,0,0,0,N,1,2,1
107.58,1.64,M,49,160,16,1,6,8,1,N,1,2,2
111.56,1.67,M,42,0,21,2,4,9,0,N,0,0,1
106.28,1.63,V,21,0,9,1,18,13,0,N,0,3,4
85.84,1.77,V,67,0,5,5,10,6,0,N,0,1,1
57.12,1.69,M,40,0,0,0,0,0,1,N,2,2,3
106.27,1.74,V,52,0,0,0,31,12,0,N,1,1,0
63.51,1.61,M,27,0,0,0,7,2,0,N,2,3,3
64.25,1.65,M,49,0,0,0,3,7,0,N,3,4,4
65.58,1.66,V,40,0,4,0,4,0,0,S,1,4,4
76.97,1.67,V,43,0,0,3,12,10,0,N,1,2,1
101.89,1.79,V,23,0,2,0,15,6,0,N,2,1,1
109.04,1.76,V,38,0,11,0,0,4,0,N,1,2,3
71.61,1.78,V,38,0,0,0,1,6,0,N,2,4,4
54.97,1.71,V,35,0,0,2,0,0,0,N,0,3,4
67.25,1.71,M,42,0,0,0,0,2,2,N,0,1,1
89.39,1.79,V,25,0,1,1,18,4,0,N,2,2,4
74.13,1.63,M,55,0,7,0,5,5,4,N,0,2,2
57.92,1.63,M,25,0,0,2,4,0,0,N,0,2,3
89.67,1.78,V,83,30,0,0,16,13,0,N,2,2,2
58.66,1.73,V,46,100,0,0,0,0,0,N,1,3,3
63.69,1.69,M,36,0,0,0,0,0,3,N,0,0,0
65.03,1.85,V,71,0,2,0,0,1,0,N,3,4,4
56.55,1.69,M,43,0,0,7,0,0,1,N,0,0,0
86.15,1.77,V,45,0,5,0,1,3,0,N,1,3,2
71.42,1.6,M,57,30,8,1,3,1,0,N,2,3,2
79.02,1.74,M,44,30,5,0,0,0,0,N,2,2,3
74.53,1.62,M,39,0,5,2,4,3,4,N,0,1,0
52.99,1.67,M,31,0,0,2,4,0,10,N,2,4,3
88.62,1.68,M,40,0,4,2,11,6,0,N,0,1,0
74.22,1.73,M,51,0,0,5,0,8,0,N,0,0,0
90.04,1.79,V,44,0,0,0,13,5,0,N,0,0,2
81.46,1.77,V,46,120,0,1,11,7,0,N,1,1,1
75.58,1.67,M,30,120,5,0,0,0,1,N,2,3,2
48.41,1.64,M,49,0,0,3,4,0,0,N,2,3,3
55.78,1.67,M,52,0,0,0,0,0,0,N,2,3,2
96.98,1.63,M,42,200,15,3,3,0,4,N,0,1,2
86.08,1.62,M,37,0,13,2,0,0,0,N,3,4,4
65.67,1.76,V,29,30,0,2,0,3,0,N,2,4,3
83.04,1.65,M,58,0,6,2,6,4,0,N,0,0,0
44.24,1.53,M,52,0,0,3,0,0,0,N,0,2,0
103.68,1.61,M,54,50,6,0,26,20,0,N,0,1,1
69.7,1.76,V,26,0,0,4,7,7,0,N,2,4,4
99.42,1.71,M,27,0,5,1,11,7,7,N,0,0,0
87.16,1.8,V,37,0,0,3,16,5,0,N,0,2,2
81.11,1.78,V,41,0,0,0,9,4,0,N,2,2,1
83.43,1.63,M,49,90,0,0,7,15,0,N,0,2,1
54.84,1.69,M,65,0,0,4,0,0,0,N,2,1,0
85.8,1.76,V,43,90,3,0,0,5,0,N,1,2,3
88.71,1.74,V,31,80,0,0,24,2,0,N,1,1,3
61.62,1.57,M,40,50,0,0,0,0,0,N,0,0,1
77.9,1.68,M,51,40,0,0,12,6,0,N,0,1,1
98.28,1.81,V,36,10,0,0,16,7,0,N,1,1,1
86.87,1.64,M,46,0,2,0,15,7,0,S,0,0,0
89.87,1.58,M,35,0,16,0,0,2,0,N,2,3,4
75.97,1.69,M,37,0,0,0,5,8,0,N,1,2,3
56.89,1.67,M,56,30,0,4,9,3,6,N,2,2,2
